id,parentrelations,college02,urbanrural,married02,race,homelessness,numberofarrestsby2002,experience02,depression,num_weight,y_arrestedafter2002,nshot_summary_text
1,"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, cohabiting",hispanic,False,6,0,none of the time,162,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 6, and number of jobs held in past year is 0, and monthly frequency of severe depression is none of the time, and weight in pounds is 162"
2,"biological mother, marital status unknown","not enrolled, some college",urban,"never married, not cohabiting",black,False,1,3,none of the time,137,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 3, and monthly frequency of severe depression is none of the time, and weight in pounds is 137"
3,Unknown,"not enrolled, some college",Unknown,"never married, cohabiting",black,False,1,0,none of the time,187,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, some college, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 0, and monthly frequency of severe depression is none of the time, and weight in pounds is 187"
4,Unknown,enrolled in a 2-year college,Unknown,"never married, not cohabiting",black,False,2,4,none of the time,180,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is enrolled in a 2-year college, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 4, and monthly frequency of severe depression is none of the time, and weight in pounds is 180"
5,anything else,"not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",hispanic,False,1,3,most of the time,140,False,"relationship at age 12 with parent figure(s) or guardian(s) is anything else, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 3, and monthly frequency of severe depression is most of the time, and weight in pounds is 140"
6,"biological mother, marital status unknown","not enrolled, GED",urban,"never married, not cohabiting",black,True,2,2,all of the time,212,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is True, and number of previous arrests is 2, and number of jobs held in past year is 2, and monthly frequency of severe depression is all of the time, and weight in pounds is 212"
7,"biological mother, other parent present","not enrolled, high school degree",Unknown,"never married, not cohabiting",white,False,1,0,most of the time,155,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is not enrolled, high school degree, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 0, and monthly frequency of severe depression is most of the time, and weight in pounds is 155"
8,both biological parents,"not enrolled, high school degree",urban,"never married, not cohabiting",hispanic,False,1,2,none of the time,220,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 2, and monthly frequency of severe depression is none of the time, and weight in pounds is 220"
9,"biological mother, marital status unknown",enrolled in a 4-year college,urban,"never married, not cohabiting",white,False,1,1,none of the time,159,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is none of the time, and weight in pounds is 159"
10,"biological mother, marital status unknown","enrolled in grades 1-12, not a high school graduate",urban,"never married, not cohabiting",black,False,1,1,none of the time,140,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is none of the time, and weight in pounds is 140"
11,both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",white,False,1,1,some of the time,140,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is some of the time, and weight in pounds is 140"
12,Unknown,"not enrolled, high school degree",Unknown,"never married, not cohabiting",white,False,2,3,all of the time,145,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 3, and monthly frequency of severe depression is all of the time, and weight in pounds is 145"
13,"biological mother, marital status unknown",enrolled in a 2-year college,urban,"never married, not cohabiting",black,False,1,3,some of the time,174,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 2-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 3, and monthly frequency of severe depression is some of the time, and weight in pounds is 174"
14,both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",asian or pacific islander,False,1,0,some of the time,145,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is asian or pacific islander, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 0, and monthly frequency of severe depression is some of the time, and weight in pounds is 145"
15,"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",hispanic,False,5,0,all of the time,165,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 5, and number of jobs held in past year is 0, and monthly frequency of severe depression is all of the time, and weight in pounds is 165"
16,"biological mother, marital status unknown","not enrolled, high school degree",urban,"never married, not cohabiting",black,False,2,2,none of the time,187,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 2, and monthly frequency of severe depression is none of the time, and weight in pounds is 187"
17,"biological mother, marital status unknown","not enrolled, high school degree",Unknown,"never married, cohabiting",black,False,1,3,some of the time,160,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 3, and monthly frequency of severe depression is some of the time, and weight in pounds is 160"
