id,college02,num_weight,experience02,parentrelations,height_total_inches,y_arrestedafter2002,nshot_summary_text
1,"not enrolled, no high school degree, no GED",162,0,"biological mother, marital status unknown",60,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 60"
2,"not enrolled, some college",137,3,"biological mother, marital status unknown",64,False,"current education status is not enrolled, some college, and weight in pounds is 137, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
3,"not enrolled, some college",187,0,Unknown,69,False,"current education status is not enrolled, some college, and weight in pounds is 187, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 69"
4,enrolled in a 2-year college,180,4,Unknown,68,False,"current education status is enrolled in a 2-year college, and weight in pounds is 180, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 68"
5,"not enrolled, no high school degree, no GED",140,3,anything else,66,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is anything else, and height in inches is 66"
6,"not enrolled, GED",212,2,"biological mother, marital status unknown",71,True,"current education status is not enrolled, GED, and weight in pounds is 212, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
7,"not enrolled, high school degree",155,0,"biological mother, other parent present",67,False,"current education status is not enrolled, high school degree, and weight in pounds is 155, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 67"
8,"not enrolled, high school degree",220,2,both biological parents,68,False,"current education status is not enrolled, high school degree, and weight in pounds is 220, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68"
1403,"not enrolled, high school degree",220,2,both biological parents,68,False,"current education status is not enrolled, high school degree, and weight in pounds is 220, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68"
9,enrolled in a 4-year college,159,1,"biological mother, marital status unknown",74,False,"current education status is enrolled in a 4-year college, and weight in pounds is 159, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74"
